material_id,strenght,lightweight,stiffness,shear_resistance,poison_ratio
1,0.1573754316724223,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
2,0.1605821410952146,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
3,0.14134188455846078,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
4,0.16822890971879625,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
5,0.1702022693635915,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
6,0.14627528367044895,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
7,0.18870251603354712,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
8,0.18376911692155895,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
9,0.16526887025160336,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
10,0.1973359644795264,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
11,0.18870251603354712,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
12,0.17464232856438086,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
13,0.3450912678835718,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
14,0.2313764183522447,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
15,0.21386285150468673,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
16,0.1911692155895412,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
17,0.3145041933892452,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
18,0.2567834237789837,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
19,0.26591021213616184,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
20,0.22298963986186482,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
21,0.39615194869264925,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
22,0.2960039467192896,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
23,0.2713369511593488,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
24,0.2222496299950666,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
25,0.44030587074494326,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
26,0.3586581154415392,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
27,0.3544647261963493,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
28,0.22052294030587075,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
29,0.5389738529847065,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
30,0.3552047360631475,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
31,0.34953132708436113,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
32,0.23162308830784412,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
33,0.4980266403552047,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
34,0.17143561914158856,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
35,0.1660088801184016,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
36,0.15071534287123828,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
37,0.18253576714356193,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
38,0.1724222989639862,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
39,0.15712876171682288,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
40,0.22422298963986187,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
41,0.23877651702022692,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
42,0.20522940305870746,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
43,0.4743463246176616,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
44,0.2313764183522447,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
45,0.2503700049333991,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
46,0.21065614208189443,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
47,0.6783423778983719,0.850974930362117,0.9178082191780822,0.07133243606998654,0.6666666666666666
